file,section,section_title,anselm_text,vulgate_book,chapter,verse,vulgate_text,method,allusion_type,ngram_score,llm_confidence,llm_explanation,similarity,verified,judge_reasoning
Monologion,6,"QUOD ILLA NON SIT ULLA IUVANTE CAUSA DUCTA AD ESSE, NEC TAMEN SIT",ex ipsa sint omnia quae sunt. Et quondam id quod,Wisdom,11,25,"Diligis enim omnia quae sunt, et nihil odisti eorum quae fecisti; nec enim odiens aliquid constituisti aut fecisti.",ngram,direct_quote,1,,,0.0361,True,
Monologion,8,"QUOMODO INTELLIGENDUM SIT, QUIA FECIT OMNIA EX NIHILO.","sine omni repugnantia ea quae facta sunt a creatrice substantia,",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,1,,,0.0441,True,
Monologion,9,"QUOD EA QUAE FACTA SUNT DE NIHILO, NON NIHIL ERANT, ANTEQUAM","cogit, secundum quid ea quae facta sunt, antequam fierent, dici possint fuisse nihil. Nullo namque pacto fieri potest aliquid rationabiliter ab aliquo, nisi in facientis ratione praecedat aliquod rei faciendae quasi exemplum, siue aptius dicitur forma, uel similitudo, aut regula. Patet itaque, quoniam priusquam fierent uniuersa, erat in ratione summae naturae, quid aut qualia aut quomodo futura essent. Quare cum ea quae facta sunt, clarum sit nihil",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,2,,,0.0625,True,
Monologion,13,"QUOD, SICUT OMNIA PER SUMMAM ESSENTIAM FACTA SUNT,","non potest, nisi ut ea quae sunt facta uigeant per",1 Corinthians,1,28,"et ignobilia mundi, et contemptibilia elegit Deus, et ea quae non sunt, ut ea quae sunt destrueret:",ngram,direct_quote,1,,,0.075,True,
Monologion,14,"QUOD ILLA SIT IN OMNIBUS ET PER OMNIA, ET OMNIA SINT EX ILLA ET","Ubique igitur est et per omnia et in omnibus. At quondam absurdum est, ut scilicet, quemadmodum nullatenus aliquid creatum potest exire creantis et fouentis immensitatem, sic creans et fouens nequaquam ualeat aliquomodo excedere factorum uniuersitatem: liquet quondam ipsa est, quae cuncta alia portat et superat, claudit et penetrat. Si igitur haec illis quae superius sunt inuenta iungantur: eadem est, quae in omnibus est et per omnia, et ex qua et",Ephesians,4,6,"Unus Deus et Pater omnium, qui est super omnes, et per omnia, et in omnibus nobis.",ngram,direct_quote,4,,,0.0845,True,
Monologion,14,"QUOD ILLA SIT IN OMNIBUS ET PER OMNIA, ET OMNIA SINT EX ILLA ET",est et per omnia et in omnibus. At quondam absurdum,Colossians,3,11,"ubi non est gentilis et Judaeus, circumcisio et praeputium, Barbarus et Scytha, servus et liber: sed omnia, et in omnibus Christus.",ngram,direct_quote,1,,,0.0959,True,
Monologion,15,QUID POSSIT AUT NON POSSIT DICI DE ILLA SUBSTANTIALITER.,aurum esset. Patet autem ex eo quod summa natura sic,Luke,21,4,"Nam omnes hi ex abundanti sibi miserunt in munera Dei: haec autem ex eo quod deest illi, omnem victum suum quem habuit, misit.",ngram,direct_quote,1,,,0.0263,True,
Monologion,16,"QUOD IDEM SIT ILLI ESSE IUSTAM, QUOD EST ESSE IUSTITIAM; ET EODEM","potestas, summa unites, quod non est aliud quam summe ens,",Galatians,1,7,"quod non est aliud, nisi sunt aliqui qui vos conturbant, et volunt convertere Evangelium Christi.",ngram,direct_quote,1,,,0.0385,True,
Monologion,20,QUOD ILLA SIT IN OMNI LOCO ET TEMPORE.,creatrix haec natura ubique et in omnibus et per omnia,Philippians,4,12,"Scio et humiliari, scio et abundare (ubique et in omnibus institutus sum): et satiari, et esurire, et abundare, et penuriam pati.",ngram,direct_quote,1,,,0.032,True,
Monologion,21,QUOD IN NULLO SIT LOCO AUT TEMPORE.,At de quo nihil est quod non sit in aliquo,2 Kings,20,15,"At ille respondit: Quid viderunt in domo tua? Ait Ezechias: Omnia quaecumque sunt in domo mea, viderunt: nihil est quod non monstraverim eis in thesauris meis.",ngram,direct_quote,1,,,0.0299,True,
