file,section,section_title,anselm_text,vulgate_book,chapter,verse,vulgate_text,method,allusion_type,ngram_score,llm_confidence,llm_explanation,similarity,verified,judge_reasoning
Monologion,3,"QUOD SIT QUAEDAM NATURA, PER QUAM EST, QUIDQUID EST, ET QUAE PER SE","cuncta quae sunt, sunt per ipsum unum",John,1,3,"Omnia per ipsum facta sunt: et sine ipso factum est nihil, quod factum est.",ngram+llm,thematic_echo,0,high,"The idea that everything that exists is through ‘that one’ reflects John 1:3’s claim that “by Him all things were made,” extending the Johannine Logos‑creation motif.",0.0744,True,
Monologion,6,"QUOD ILLA NON SIT ULLA IUVANTE CAUSA DUCTA AD ESSE, NEC TAMEN SIT",ex ipsa sint omnia quae sunt. Et quondam id quod,Wisdom,11,25,"Diligis enim omnia quae sunt, et nihil odisti eorum quae fecisti; nec enim odiens aliquid constituisti aut fecisti.",ngram,direct_quote,1,,,0.0361,True,
Monologion,6,"QUOD ILLA NON SIT ULLA IUVANTE CAUSA DUCTA AD ESSE, NEC TAMEN SIT","Quod enim non est, a quo faciente aut ex qua materia aut quibus adiumentis ad esse peruenerit: id uidetur aut esse nihil, aut si aliquid est, per nihil esse et ex nihilo.",Genesis,1,1,In principio creavit Deus caelum et terram.,llm,thematic_echo,0,high,Anselm’s discussion of something existing “ex nihilo” mirrors the biblical doctrine of creation out of nothing found in Genesis 1:1 (“In principio Deus creavit caelum et terram”).,0.0081,True,
Monologion,8,"QUOMODO INTELLIGENDUM SIT, QUIA FECIT OMNIA EX NIHILO.","sine omni repugnantia ea quae facta sunt a creatrice substantia,",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,1,,,0.0441,True,
Monologion,8,"QUOMODO INTELLIGENDUM SIT, QUIA FECIT OMNIA EX NIHILO.","nihil fit ex nihilo, sicut uox omnium est: quia de nihilo nihil.",John,1,3,"Omnia per ipsum facta sunt: et sine ipso factum est nihil, quod factum est.",llm,paraphrase,0,high,"Anselm re‑states John 1:3 (Vulgate: “sine ipso nihil factum est”) in his own words, asserting that nothing comes into being from nothing.",0.046,True,
Monologion,9,"QUOD EA QUAE FACTA SUNT DE NIHILO, NON NIHIL ERANT, ANTEQUAM","cogit, secundum quid ea quae facta sunt, antequam fierent, dici possint fuisse nihil. Nullo namque pacto fieri potest aliquid rationabiliter ab aliquo, nisi in facientis ratione praecedat aliquod rei faciendae quasi exemplum, siue aptius dicitur forma, uel similitudo, aut regula. Patet itaque, quoniam priusquam fierent uniuersa, erat in ratione summae naturae, quid aut qualia aut quomodo futura essent. Quare cum ea quae facta sunt, clarum sit nihil",Romans,1,20,"Invisibilia enim ipsius, a creatura mundi, per ea quae facta sunt, intellecta, conspiciuntur: sempiterna quoque ejus virtus, et divinitas: ita ut sint inexcusabiles.",ngram,direct_quote,2,,,0.0625,True,
Monologion,9,"QUOD EA QUAE FACTA SUNT DE NIHILO, NON NIHIL ERANT, ANTEQUAM",per quod et secundum quod fierent,John,1,3,"Omnia per ipsum facta sunt: et sine ipso factum est nihil, quod factum est.",llm,thematic_echo,0,high,"Anselm’s phrasing mirrors John 1:3’s wording “per quod omnia facta sunt, et sine ipso factum non est nihil,” directly linking the creative act to a rational cause.",0.0706,True,
Monologion,10,"QUOD ILLA RATIO SIT QUAEDAM RERUM LOCUTIO, SICUT FABER PRIUS APUD","SE DICIT, QUOD FACTURUS EST.",Genesis,1,3,Dixitque Deus: Fiat lux. Et facta est lux.,llm,thematic_echo,0,high,"Anselm’s formulation that “He says what He will do” mirrors the creation formula in Genesis 1:3 where God says “Let there be…”, indicating that divine speech precedes the act of creation.",0.0126,True,
Monologion,10,"QUOD ILLA RATIO SIT QUAEDAM RERUM LOCUTIO, SICUT FABER PRIUS APUD","non immerito uideri potest apud summam substantian, talem rerum locutionem et fuisse antequam essent ut per eam fierent, et esse cum facta sunt ut per eam sciantur.",John,1,1,"In principio erat Verbum, et Verbum erat apud Deum, et Deus erat Verbum.",llm,thematic_echo,0,high,The passage echoes John 1:1‑3 (“In the beginning was the Word… all things were made through Him”) by asserting that a “word‑like” locution existed before things and that things are known through it after they are made.,0.0168,True,
Monologion,11,QUOD TAMEN MULTA SIT IN HAC SIMILITUDINE DISSIMILITUDO.,"quasi dixisse cunctam creaturam, quam eam secundum eandem et per eandem suam intimam locutionem conderet",John,1,3,"Omnia per ipsum facta sunt: et sine ipso factum est nihil, quod factum est.",llm,paraphrase,0,high,"Anselm’s description of the whole creation being brought into being by the “intima locutio” (the intimate word) mirrors John 1:3 – “per ipsum facta sunt omnia, et sine ipso factum est nihil quod factum est.”",0.0455,True,
